Sentence,Translate
My family spoils my daughter so much and girl ain’t even here yet 😭,👨‍👩‍👦🥰👩
Do y’all understand how fast whoever made the meme of this had to be to catch it at this perfect moment 😂😂😂,🤔😂
SOLAR POWER MONTH OMFG🌞🌞🌞🌞,🌞🔥😂
im fucking bored,🤮😣😴
Today is going to be a 2hr long episode 💉💉💉💉💉💉💉💉,😴💉
WHITe BOY TRY TO SELL ME VLONE LIL BOY LEAVE ME ALONE,😡
fighting the urge to text all my friends happy national gf day,🏃🎉🥰
"Anyway, what do you want? You want to challenge me or something? …I hate to say it, but I'm not in the mood for a battle now.",😡❌
what’s going on 😟😟,🤔😢
Fuck man everything hurts,💔😢
"Don't forget that my heart once yours and your place will never be replaced but in this lifetime, our story doesn't meant to last.",❤️🥰😍
Back to square one. We need Werner to fckin score man.,🔥
YOU CHAT TOO MUCH,💬😡
some people are disgusting,👨🤮
I JUST TELL IT LIKE IT IS,😄🤦
will magnesium citrate make u bloat like laxatives?,🤔😂
Fuck the democrat secret police. Defund the FBI NOW!,😡
"Time dose not change people, time reveals the real face of people . 🤷🏻‍♀️",⏰❌👨👨
the way all these festivals are going to spread the variant at super speed,🎉🏃
Gift of life,🎉😄
"Ooh what should I wear”-me, the person spending the entirety of the day in their house doing chores and making food",👔🤔🏠🍳
english song 👀👀,🎵
Lowkey 🎶,🎵
Don’t screw with me. \nI will cry.,😡😢
Old people be so funny on Facebook. They really don’t belong on there to begin with 😩🤣.,😂🤦
Everything is coming to the light omgggg,😂😄👍
It seems we both refuse to die!,😄😂
THIS WAS ME WITH DEMON SLAYER HAHAHA,👻😄😂
I don't know why I have the ticket of my first Daewoo ride still in my wallet,🤔😂
how you a grown ass man and bike? grow up,😡🤔
The last time you had subway,🤮⏰🍳
Yuhuuu cant wait❣️,😄🥰
it's so hot that not even watermelon can refresh me,🔥🌞💦
I was coming up with a story concept the other day and now I'm realizing it's literally just Sonny Boy,🤔📅😂
I cried and i look like shit,😢😣👉💩
OMG TBERE ARE FIDGET SPINNERS AT SEVEN ELEVEN WHO WANT OME!?????,😍🤔
im so ia these few days😭,😢😣
I’m done arguing with blackhawks fans who want Seth Jones to suck. That is my promise to you all,😡👎
Always a fan from ‘Cuse time. So smooth!,🥰👍
Shit ain’t sweet I’m not showing no love .fuck on,💩😡👋
Amazing Firework mishap  8 am in Max and Erma's. Sydney Brannon reporting for Stock Market station.,🎉⏰⛪️
Meow!,🐶
whole tl fighting,🔥
Arsenal make me sick,🤮💉😷
Being hungover ain’t it bro 😐,😢😣
I have anxiety at my parents house and that’s okay. They remind me of dreams they had for me,😣👨‍👩‍👦🏠🤔
the loafers …. i need them,🙏
Hey go touch butts with a putride fetus Bella Medina!,😂
Don’t shoot.,❌🙏
I need this skin too,😂🔥🙏
can’t expect honesty from someone who can’t even b honest w themselvesssss,🤮😡
Went to the field hockey finals in Montreal. Full of India fans. But India didn’t make it.,🏃😂
She got sooooo mad at me while I was putting the flamingo costume on her. Then she seemed pleasantly intrigued while wearing it.,👩😡😂👩😄
twitter really allow niggas to convince themselves they smart . i miss real life,📱💬😂
I don’t do the drama! Mfs be actually old and messy. I don’t like that,❌😡😣
Allure is timeless,🔥❌⏰
New Jerseyans do NOT know how to make cakes.,🤮❌
then you say,👨💬
How can people even Compare Billie and Nirvana.,🤔👨👩
still working on my obliques but that’s been a process LMAO,💼⏰😂
RTÉ hate the Dublin football team and you love to see it 😂😂😂,😡👨😍👀
Just have to get it right once 🙏🏽,🙏👌😣
How do you expect to see me happy when you stole my happiness away?,😡👉😄💔
I don’t fuck with fashion nova you know,😂❌🤦
"If you're on my new snapchat acc, Im deeply sorry😭",📱😂😢
THIS IS MY HEADER WAIT OMF,😂
HELP,🙏
i fell in love but its okay cause we in love✋😣,❤️🥰
A TWERK UNIT HAS SUCCESSFULLY MADE CHINA AND BRAZIL ITS OTP.,👍🔥
this could be a tweet,👉📱💬
Try making a violet carolingian work with bile!,💼
my edit almost done! *snorts*,😄👌
That eyebrow cut tho,👀😂
"My birthday is in a week and a half, I better be getting carried out the club",🎉📅😢
Short story,📖
"New month, let’s go crazy",📅😄🔥
i’m so sorry :(,😢😣🙏
MARK'S REACTION LOL,😂😄👍
THE SHOES omg i LOVE IT,👔😂😍
I want some hot ass chicken 😂😂,😍🔥🍳
If I’m motivated just go away leave me by my own ⛓,🏃👋
"teach me how to be okay,i dont wanna downplay my emotions",😣👌😢💔
i literally look so disgusting i wanna kill myself why do i loo liek this,😣🤮💀🤔👩
"Nahh I hope KW rotts in hell, wtf is wrong with this man",🙏💀😡👨
"Boo, and I cannot stress this enough, fucking hoo.",😣😡
What's the point of paying for health insurance if you're still going to be in massive debt if you get sick? What is my money going to?,🤔💰👉🤦
Beautiful Mark jumps over Laura.,👨🏃👩
- these folks can only see me virtually .. 🤑‼️,👨👀😂
"sp's fanservice is just superior, literally the only thing i can thank them for aside from animation",👍💬🙏😍
is there any updates on lewis?,🤔💬
oh mygod,😄🔥
i miss gfriend tonight,😍👩🌛
i don’t even know what was this supposed to prove like,❌🤔
Is working at the mall boring?\nYou kinda just watch tons of people walk by the store and hope for them to walk in yours.,🤔👀👨🏃🙏
Sanchos mother watching him play this season at United.,👩👨‍👩‍👦👀🏃
Take notes for how the cathedral operates and how effective its tactics are.,📖🤔
