Sentence,Label
"eat then, idiot.",🍽️🤦
Loving you and having you  is  the most successful achievement in life ♥️✨,💖 ➡️👤♥️✨
Imagine not being arab 💀💀😭,🤔❌️ 👳
I’m going to a concert tonight and I’m so nervous🤩,👨➡️🎤🌃🤩
gatekeeping painting…..,👀🚪🖼️
Not if I see you in water,❌️👨👀 ➡️👤🌊
yowdi i smell small chismis.,👨👃📐🦐
A lot of them niggas🤧,👥🤧👨🏿
jeez,😲
This panther needs Calcium Chloride!,😷💊
feeling so restless,😪
momotarousuper1,🧒
Mayday ft ____ &amp; _____ - !?  Landing August 10th  🚀🚀🌪🌪  Superrrr gassed for this month 🌛,8️1️⃣0️⃣ 🚀🚀🌪️🌪️🌛
am I a she/they or a they/them. I guess we will never know,🤔👨👩👩‍👩‍👧‍👦
That's major improvement,🆙
I love being out in public and getting compliments from other members of the alphabet mafia :3,👨♥️🏬😞🅰️👨‍👨‍👧‍👦
Called it,🤙
"I'm like ""when can we schedule your euthanasia?""",👨♥️⏱️📅👈💉
I need like 3days rest to recover from this past weekend's stress. Back don nearly break.,👉3️⃣📅🛌❌️💔
Who wants to play Fortnite later?,🤔🎮
HE GOING TO ESPN?👀👀👀Commentate La Liga,👨➡️📺
how are all of you doing today,🤔👤➡️
"Making friends wherever I go, is my favorite part of trips 🌎",👨➡️🙆‍♂️ 🌎
a lot of y’all need to go get tested,➡️🧪
ok gn,🛌🏽
How is it August already?!,⏱️
me just trying to chill despite life constant fucking me over,👤⬅️🧬👉️👌 👤⬅️
Fuck ur mama 😣 fuck ur dad 😣,🖕
I miss pang,💖👩‍👩‍👧‍👦
If dugg wouldve just not. He would’ve been ok.,❌️ 👤👉️👌
A lot of y’all worried about the wrong things.,😟❌️
happy birthday pacar akuuu @/marklee,😀🎂
YOONGLEEEEE💜,💜
NY Yankees P Domingo German (shoulder) placed on 10-day IL (08/01),👨🤕
My daddy beat hoes for my mama he don’t beat my mama . Big difference,👨👊🔨🤏👨👊👩
After I came to this area there has come up strange tagged signs everywhere.,👨⤵️🤔🛑
$15k to save your murderous girlfriend with the bad back???,💲1️⃣5️⃣👧💕👎️ 🔙
"If ESPN FC is the answer , what is the question??",📺❓🙋
mf’s won’t even check on you when they know you going thru it but be quick af to ask for a favor.,👨❌️❓ ➡️👤🙏
 Coffee must've stole my phone ,☕🤌📱
🍭 i maybe omg marius&lt;33!! but inside talaga vyn&gt;&gt;,🍭✨
I don't do that anymore because I know he sees and he will get me what I want😭,❌️💡 👤👨 👀 ➕ 👤👨👤⬅️🙏😭
Omg george!! You deserved it!!💙💙 So happy for you 🥺🥺💙💙,🤩‼️➡️👤😀 ➡️👤 🥺🥺💙💙
Roses are gold forget me nots are olive sugar be sweet and so on,🌹🥇👤⬅️ ❌🫒 🍧
"My love for you is just like diarrhea, I just can't hold it in.😦😧😍😘",😦😧😍😘⏱️👈
SILVER MEDAL FOR MYKAYLA!!!  From plane to podium! A PHOENIX FROM THE ASHES!,🥈✈️ ⚱️🐣🕊️
who is turning 30 this year? I thought dylan was turning 24,3️⃣0️⃣🤔2️⃣4️⃣
it’s already August shit cray.,⏱️👈💩
"Another hour! It's August 01, 2021 at 05:29PM",🤩‼️0️⃣8️⃣0️⃣1️⃣2️⃣0️⃣2️⃣1️⃣0️⃣5️⃣2️⃣9️⃣
momotarousuper1,🧒
Hezbollah: Lebanese government to prosecute and punish perpetrators of Ali Shibli assassination.,🏛️💩
WAIT THIS IS SO PRETTY,😍
Duck til it’s safe to come outside headassss,🦆⤵️🌄
I’m just so not interested these days,❌️❤️🌅
You can't stand up for your own Planet you can't stand up for anyting I can't stand you,➡️👤 ❌️ ⬆️👤
just got glorious lulu i feel like a fairy,💆‍♀️🧚‍♀️
"hearing story about david and johnathan in the bible now, they were definitely gay asl",👂️👨👨✝️👨‍❤️‍💋‍👨
Can't believe this tweet didn't even get 100 likes..... this is a serious TOTY contender,🤦✉️💯❤️
Our fanbase and reactionism.,👥⬅️😞
I'm gonna play you some.,▶️ ➡️👤
I am not sure what happened but I fell pretty epically going down the stairs and almost smashed my face into the wall? It was uhhh alarming,❌️😀➡️🧱⏰
it’s ALWAYS the filo kpop stans istg,🇰🇷🎶
"Don’t tag your girl for national gf day if you don’t want me to follow her, simple",❌️👧➡️👤 ❌️ 🙏 👤⬅️
RAN IS GIVING ME SEROTONIN ILY,🏃‍♂️➡️ 👤🤟
All the very best to ur Indian Women's Hockey Team as well for QF. Go for it girls billions of wishes r with u. 🥉🇮🇳🇮🇳🇮🇳🙏🙏🤞🤞,👯‍♀️ 🏒🥉​🇮🇳​​🇮🇳​​🇮🇳​🙏🙏🤞🤞
they really removing fleets today … 😵‍💫,❌️😵‍💫
Hi guys did u want sum treats,👋➡️👤 🙏 
Nobody knows what's hidden deep inside.   WE WANT SAAKK S2,💡🥷👥⬅️ 🙏 
"Accidentally got a little too baked, per sources",🤢🤮
Mayweather look like common,🧐
“we just talked two weeks ago”TWO WEEKS AGO,🗣️🔜
"Empire College is a private for-profit phrontistery in Santa Rosa, California.",🎓🏫
"Hmm, perhaps I'll look into what kind of fabric I should order for my kusuriuri cosplay  First I need to learn how kimono patterns work tho",🤔👀
"It’s August 1st y’all, happy soooky vibezzzz 🧡",0️⃣8️⃣0️⃣1️⃣😀🧡
Thinking about him again.,🤔👨🔂
the hidden replies 😭😭 ur a LOSER,🥷✉️😭😭 ➡️🖕👤
just lied,🤥
. . . really interesting 🧵,🤔
We shoulda scored more.😎,👥💯😎
momotarousuper1,🧒
Certainly came close to! Megaten and Persona fans are real mean and weird,👨🤢🤮
This is the content we love 🤣,👥⬅️❤️🤣
I have been enough to being positive person,😃🤮
I got trust issues…lol,🖕🤥
"my phone says i tried to brick mephone, but i never did that!  promise :D",📱🤯🤣
halo moots,👋
I’m looking real breedable,👀🚪🖼️
I hope they announce the new Satine understudy too. they  deserve the spotlight too,🔮🆕💡
Trippy,😞
LETS GOOO,😤👊
tncrd si deve spaventare,😨
Knowing a nigga love you but can’t love you properly is a painful situation...😩,👨🏿♥️👈😩
My journals never did contain any deep thoughts. Just me whining about crap.,📕❌️💭
i have‐,😞
No excuses. Just results 😎💰,😎💰
"God I love Seb. And I hate that I used to despise him at one point. What an incredible dude, class of the grid",❤️➕😡👨🤮
"one thing about me, i’m not playing with people’s kids. you better call your ol ma.",1️⃣👤⬅️❌️ ▶️🧒🤙👵
What y’all think?,💭
no cuz the rest of the members are on the other side of the skateboard why are the two of them isolated,👥🥳🛹 ❓️❌️👥
