Sentence,Original emoji,output emoji
"eat then, idiot.","['🍳', '😡']",<pad>
Loving you and having you  is  the most successful achievement in life ♥️✨,"['❤', '👨', '👉', '👨', '🎉']",<pad>
Imagine not being arab 💀💀😭,"['🤔', '❌', '👨']",
I’m going to a concert tonight and I’m so nervous🤩,"['🎵', '🌛', '😍']",
gatekeeping painting…..,"['👀', '⛪']",
Not if I see you in water,"['❌', '👀', '👨', '💦']",
yowdi i smell small chismis.,"['👨', '🤮']",
A lot of them niggas🤧,['😡'],
jeez,['🎉'],<pad>
This panther needs Calcium Chloride!,"['👨', '💼', '💉']",
feeling so restless,"['🤮', '❌', '🌛']",
Mayday ft ____ &amp; _____ - !?  Landing August 10th  🚀🚀🌪🌪  Superrrr gassed for this month 🌛,"['👋', '🔥', '👍', '🌛']",<pad>
am I a she/they or a they/them. I guess we will never know,"['👨', '👩', '🤔', '🤦']",
That's major improvement,['👍'],<pad>
I love being out in public and getting compliments from other members of the alphabet mafia :3,"['👨', '❤', '⛪', '😡', '💬']",<pad>
Called it,['👌'],<pad>
"I'm like ""when can we schedule your euthanasia?""","['🤔', '⏰', '📅']",
I need like 3days rest to recover from this past weekend's stress. Back don nearly break.,"['👉', '😴', '😷']",
Who wants to play Fortnite later?,"['🤔', '🎮']",
HE GOING TO ESPN?👀👀👀Commentate La Liga,"['👨', '👉', '🎉']",
how are all of you doing today,"['👋', '👨', '👩', '🤔']",
"Making friends wherever I go, is my favorite part of trips 🌎","['👉', '👨', '❤']",
a lot of y’all need to go get tested,"['👨', '👩', '👉', '📖']",
ok gn,"['👌', '🌛']",<pad>
How is it August already?!,"['👉', '📅', '🤦']",
me just trying to chill despite life constant fucking me over,"['👨', '👉', '😄', '👎']",
Fuck ur mama 😣 fuck ur dad 😣,['😡'],
I miss pang,"['❤', '👨']",<pad>
If dugg wouldve just not. He would’ve been ok.,"['👨', '❌', '👨', '👌']",
A lot of y’all worried about the wrong things.,"['❌', '🤔', '🤦']",<pad>
happy birthday pacar akuuu @/marklee,['🎉'],
NY Yankees P Domingo German (shoulder) placed on 10-day IL (08/01),"['🏃', '📅']",
My daddy beat hoes for my mama he don’t beat my mama . Big difference,"['👨', '👉', '👩', '🤦']",
After I came to this area there has come up strange tagged signs everywhere.,"['👨', '👉', '🏠', '🤦']",
$15k to save your murderous girlfriend with the bad back???,"['💰', '👩']",
"If ESPN FC is the answer , what is the question??","['💼', '🤔']",
mf’s won’t even check on you when they know you going thru it but be quick af to ask for a favor.,"['👨', '👉', '💬', '🙏']",
 Coffee must've stole my phone ,"['🤔', '📱']",
🍭 i maybe omg marius&lt;33!! but inside talaga vyn&gt;&gt;,"['🎉', '❤']",<pad>
I don't do that anymore because I know he sees and he will get me what I want😭,"['🤦', '👀', '👨', '👉']",<pad>
Omg george!! You deserved it!!💙💙 So happy for you 🥺🥺💙💙,"['🎉', '😄']",
Roses are gold forget me nots are olive sugar be sweet and so on,['🤔'],
"My love for you is just like diarrhea, I just can't hold it in.😦😧😍😘","['🎉', '😄']",
SILVER MEDAL FOR MYKAYLA!!!  From plane to podium! A PHOENIX FROM THE ASHES!,['🎉'],<pad>
who is turning 30 this year? I thought dylan was turning 24,"['👉', '📅', '💔']",
it’s already August shit cray.,"['👉', '📅']",
"Another hour! It's August 01, 2021 at 05:29PM","['👉', '⏰', '📅']",
Hezbollah: Lebanese government to prosecute and punish perpetrators of Ali Shibli assassination.,"['⛪', '👎', '🙏', '💀']",
WAIT THIS IS SO PRETTY,"['🤔', '🎉']",
Duck til it’s safe to come outside headassss,"['🐶', '👀', '⛪', '👍']",<pad>
I’m just so not interested these days,"['😢', '💔', '📅']",
You can't stand up for your own Planet you can't stand up for anyting I can't stand you,"['🤔', '🏠', '❌', '👉', '👨']",<pad>
just got glorious lulu i feel like a fairy,"['👩', '🤔', '👍']",
"hearing story about david and johnathan in the bible now, they were definitely gay asl","['💬', '👨', '❤', '👨', '⛪']",<pad>
Can't believe this tweet didn't even get 100 likes..... this is a serious TOTY contender,"['💬', '❌', '❤']",
Our fanbase and reactionism.,"['🤔', '🎉']",<pad>
I'm gonna play you some.,"['🤔', '👉']",
I am not sure what happened but I fell pretty epically going down the stairs and almost smashed my face into the wall? It was uhhh alarming,"['🤔', '💩', '😢', '⏰']",
it’s ALWAYS the filo kpop stans istg,"['🎵', '👍']",<pad>
"Don’t tag your girl for national gf day if you don’t want me to follow her, simple","['❌', '👩', '📅', '🏃', '👩']",
RAN IS GIVING ME SEROTONIN ILY,"['💦', '👉', '🤮']",
All the very best to ur Indian Women's Hockey Team as well for QF. Go for it girls billions of wishes r with u. 🥉🇮🇳🇮🇳🇮🇳🙏🙏🤞🤞,"['👩', '🏃', '👍', '🎉']",<pad>
they really removing fleets today … 😵‍💫,"['❌', '🏠', '📅', '🤮']",<pad>
Hi guys did u want sum treats,"['👋', '👨', '🤔']",
Nobody knows what's hidden deep inside.   WE WANT SAAKK S2,"['❌', '👨', '🤔', '🤦']",
"Accidentally got a little too baked, per sources","['🔥', '🍳']",
Mayweather look like common,"['👨', '👍']",<pad>
“we just talked two weeks ago”TWO WEEKS AGO,"['👨', '💬', '📅']",
"Empire College is a private for-profit phrontistery in Santa Rosa, California.","['⛪', '👉', '💰']",
"Hmm, perhaps I'll look into what kind of fabric I should order for my kusuriuri cosplay  First I need to learn how kimono patterns work tho","['🤔', '👉', '👻', '👔', '🤦']",
"It’s August 1st y’all, happy soooky vibezzzz 🧡","['📅', '🎉']",
Thinking about him again.,"['🤔', '👨', '😣']",
the hidden replies 😭😭 ur a LOSER,"['❌', '👀', '💬', '😡']",<pad>
just lied,['😡'],<pad>
. . . really interesting 🧵,['🥰'],
We shoulda scored more.😎,"['🙏', '👉', '👍']",
Certainly came close to! Megaten and Persona fans are real mean and weird,"['👨', '🤮', '🤦']",
